,cooling_channel0,cooling_channel1,cooling_channel10,cooling_channel11,maxigauge_channel1,maxigauge_channel2,maxigauge_channel3,maxigauge_channel4,maxigauge_channel5,maxigauge_channel6,temperature_channel1,temperature_channel2,temperature_channel5,temperature_channel6
count,120930.0,120930.0,120930.0,120930.0,120925.0,120925.0,120925.0,120925.0,120925.0,120925.0,120255.0,120240.0,120225.0,120249.0
mean,27.230447912847893,18.529657857958053,26.200817888823185,18.6044318848943,0.7249028533529056,1.3493050010349963,480.972810385711,618.0132852515669,231.1913445133593,33.24593489064822,77.62625747670467,47.720163638095286,49.940137704597035,3.866749565707693
std,5.120091158692794,1.556749062664234,4.685759702482882,1.6038670397979526,25.771202501952608,20.269836071731913,327.5672309413621,181.1982998292388,332.5720793264057,171.6267331464523,87.04942396709458,93.26172196800256,95.44411208557102,15.669783474998683
min,15.398997,15.3960525,15.362593333333333,15.414538333333333,4.47e-06,0.000501,-3.3555737704918034,20.40819672131148,3.9085869565217393,0.0084419512195121,35.593250819672136,3.0838666666666663,0.7310855833333333,0.0
25%,28.037128395833335,17.982863791666666,27.02535546527778,18.115914980154272,5.425300546448088e-06,0.0222,-0.5846721311475409,641.8064516129032,5.901092896174863,0.7453252032520326,35.8742,3.13108,0.8992675416666667,0.0089794342541436
50%,29.221221999999997,18.705858,27.962706833333336,18.773054000000002,6.172764227642277e-06,0.0226,678.0,702.5,5.94,1.89,36.33556166666666,3.1427978333333337,0.901339041322314,0.0102321283333333
75%,29.698842854166667,19.34366577140884,28.451848770833333,19.384979125,1.09e-05,0.0232,690.4371584699453,713.0,721.0655737704918,4.144590163934426,52.20610046500921,15.19808592694905,35.458960000000005,0.0147684933333333
max,50.96176333333333,29.299443333333336,53.32694666666666,30.45185,1000.0,519.9021739130435,1884.5652173913045,1381.967213114754,738.0,999.9756097560976,294.5449180327869,295.305075,295.657425,101.89648333333334
