id,channel,io,value,datetime
6893003,0,1,15.59389,2023-09-26 00:00:04.000000
6893004,0,0,15.64556,2023-09-26 00:00:04.000000
6893005,1,1,15.59167,2023-09-26 00:00:04.000000
6893006,1,0,15.56556,2023-09-26 00:00:04.000000
6893007,0,1,15.56333,2023-09-26 00:02:04.000000
6893008,0,0,15.60944,2023-09-26 00:02:04.000000
6893009,1,1,15.56556,2023-09-26 00:02:04.000000
6893010,1,0,15.53778,2023-09-26 00:02:04.000000
6893011,0,1,15.58667,2023-09-26 00:03:04.000000
6893012,0,0,15.61722,2023-09-26 00:03:04.000000
6893013,1,1,15.535,2023-09-26 00:03:04.000000
6893014,1,0,15.50167,2023-09-26 00:03:04.000000
6893015,0,1,15.56833,2023-09-26 00:05:04.000000
6893016,0,0,15.59389,2023-09-26 00:05:04.000000
6893017,1,1,15.55556,2023-09-26 00:05:04.000000
6893018,1,0,15.51944,2023-09-26 00:05:04.000000
6893019,0,1,15.545,2023-09-26 00:07:04.000000
6893020,0,0,15.58667,2023-09-26 00:07:04.000000
6893021,1,1,15.56333,2023-09-26 00:07:04.000000
6893022,1,0,15.52444,2023-09-26 00:07:04.000000
6893023,0,1,15.55278,2023-09-26 00:08:04.000000
6893024,0,0,15.59944,2023-09-26 00:08:04.000000
6893025,1,1,15.55833,2023-09-26 00:08:04.000000
6893026,1,0,15.51722,2023-09-26 00:08:04.000000
6893027,0,1,15.59389,2023-09-26 00:11:04.000000
6893028,0,0,15.63,2023-09-26 00:11:04.000000
6893029,1,1,15.55556,2023-09-26 00:11:04.000000
6893030,1,0,15.52444,2023-09-26 00:11:04.000000
6893031,0,1,15.58389,2023-09-26 00:12:04.000000
6893032,0,0,15.60167,2023-09-26 00:12:04.000000
6893033,1,1,15.56556,2023-09-26 00:12:04.000000
6893034,1,0,15.53,2023-09-26 00:12:04.000000
6893035,0,1,15.625,2023-09-26 00:16:04.000000
6893036,0,0,15.65833,2023-09-26 00:16:04.000000
6893037,1,1,15.60722,2023-09-26 00:16:04.000000
6893038,1,0,15.56833,2023-09-26 00:16:04.000000
6893039,0,1,15.59667,2023-09-26 00:17:04.000000
6893040,0,0,15.63778,2023-09-26 00:17:04.000000
6893041,1,1,15.57333,2023-09-26 00:17:04.000000
6893042,1,0,15.545,2023-09-26 00:17:04.000000
6893043,0,1,15.57333,2023-09-26 00:19:04.000000
6893044,0,0,15.60722,2023-09-26 00:19:04.000000
6893045,1,1,15.57111,2023-09-26 00:19:04.000000
6893046,1,0,15.53778,2023-09-26 00:19:04.000000
6893047,0,1,15.56556,2023-09-26 00:21:04.000000
6893048,0,0,15.60444,2023-09-26 00:21:04.000000
6893049,1,1,15.57111,2023-09-26 00:21:04.000000
6893050,1,0,15.55056,2023-09-26 00:21:04.000000
6893051,0,1,15.57333,2023-09-26 00:22:04.000000
6893052,0,0,15.61444,2023-09-26 00:22:04.000000
6893053,1,1,15.56833,2023-09-26 00:22:04.000000
6893054,1,0,15.53778,2023-09-26 00:22:04.000000
6893055,0,1,15.59167,2023-09-26 00:25:04.000000
6893056,0,0,15.63,2023-09-26 00:25:04.000000
6893057,1,1,15.55833,2023-09-26 00:25:04.000000
6893058,1,0,15.52722,2023-09-26 00:25:04.000000
6893059,0,1,15.55278,2023-09-26 00:26:04.000000
6893060,0,0,15.59167,2023-09-26 00:26:04.000000
6893061,1,1,15.56833,2023-09-26 00:26:04.000000
6893062,1,0,15.535,2023-09-26 00:26:04.000000
6893063,0,1,15.56056,2023-09-26 00:29:04.000000
6893064,0,0,15.59667,2023-09-26 00:29:04.000000
6893065,1,1,15.535,2023-09-26 00:29:04.000000
6893066,1,0,15.50944,2023-09-26 00:29:04.000000
6893067,0,1,15.55278,2023-09-26 00:31:04.000000
6893068,0,0,15.58667,2023-09-26 00:31:04.000000
6893069,1,1,15.54778,2023-09-26 00:31:04.000000
6893070,1,0,15.53222,2023-09-26 00:31:04.000000
6893071,0,1,15.59944,2023-09-26 00:33:04.000000
6893072,0,0,15.63,2023-09-26 00:33:04.000000
6893073,1,1,15.55278,2023-09-26 00:33:04.000000
6893074,1,0,15.53,2023-09-26 00:33:04.000000
6893075,0,1,15.57333,2023-09-26 00:35:04.000000
6893076,0,0,15.61222,2023-09-26 00:35:04.000000
6893077,1,1,15.58389,2023-09-26 00:35:04.000000
6893078,1,0,15.55056,2023-09-26 00:35:04.000000
6893079,0,1,15.59389,2023-09-26 00:36:04.000000
6893080,0,0,15.62222,2023-09-26 00:36:04.000000
6893081,1,1,15.55556,2023-09-26 00:36:04.000000
6893082,1,0,15.54,2023-09-26 00:36:04.000000
6893083,0,1,15.58111,2023-09-26 00:39:04.000000
6893084,0,0,15.62,2023-09-26 00:39:04.000000
6893085,1,1,15.55278,2023-09-26 00:39:04.000000
6893086,1,0,15.52222,2023-09-26 00:39:04.000000
6893087,0,1,15.60444,2023-09-26 00:40:04.000000
6893088,0,0,15.63778,2023-09-26 00:40:04.000000
6893089,1,1,15.58667,2023-09-26 00:40:04.000000
6893090,1,0,15.54778,2023-09-26 00:40:04.000000
6893091,0,1,15.61444,2023-09-26 00:41:04.000000
6893092,0,0,15.64833,2023-09-26 00:41:04.000000
6893093,1,1,15.58389,2023-09-26 00:41:04.000000
6893094,1,0,15.55556,2023-09-26 00:41:04.000000
6893095,0,1,15.63778,2023-09-26 00:42:04.000000
6893096,0,0,15.67611,2023-09-26 00:42:04.000000
6893097,1,1,15.63278,2023-09-26 00:42:04.000000
6893098,1,0,15.61444,2023-09-26 00:42:04.000000
6893099,0,1,15.63278,2023-09-26 00:43:04.000000
6893100,0,0,15.66889,2023-09-26 00:43:04.000000
6893101,1,1,15.60944,2023-09-26 00:43:04.000000
6893102,1,0,15.57611,2023-09-26 00:43:04.000000
6893103,0,1,15.60444,2023-09-26 00:44:04.000000
6893104,0,0,15.65555,2023-09-26 00:44:04.000000
6893105,1,1,15.58389,2023-09-26 00:44:04.000000
6893106,1,0,15.57111,2023-09-26 00:44:04.000000
6893107,0,1,15.60722,2023-09-26 00:46:04.000000
6893108,0,0,15.64278,2023-09-26 00:46:04.000000
6893109,1,1,15.57889,2023-09-26 00:46:04.000000
6893110,1,0,15.55833,2023-09-26 00:46:04.000000
6893111,0,1,15.57111,2023-09-26 00:47:04.000000
6893112,0,0,15.60167,2023-09-26 00:47:04.000000
6893113,1,1,15.57333,2023-09-26 00:47:04.000000
6893114,1,0,15.53778,2023-09-26 00:47:04.000000
6893115,0,1,15.57111,2023-09-26 00:50:04.000000
6893116,0,0,15.60944,2023-09-26 00:50:04.000000
6893117,1,1,15.54278,2023-09-26 00:50:04.000000
6893118,1,0,15.51444,2023-09-26 00:50:04.000000
6893119,0,1,15.55056,2023-09-26 00:52:04.000000
6893120,0,0,15.58389,2023-09-26 00:52:04.000000
6893121,1,1,15.52444,2023-09-26 00:52:04.000000
