id,channel,value,datetime
9792277,1,0.02,2023-09-26 00:00:02.000000
9792278,2,0.022,2023-09-26 00:00:02.000000
9792279,3,0.00253,2023-09-26 00:00:02.000000
9792280,4,466,2023-09-26 00:00:02.000000
9792281,5,721,2023-09-26 00:00:02.000000
9792282,6,999,2023-09-26 00:00:02.000000
9792283,1,0.02,2023-09-26 00:02:05.000000
9792284,2,0.022,2023-09-26 00:02:05.000000
9792285,3,0.0432,2023-09-26 00:02:05.000000
9792286,4,466,2023-09-26 00:02:05.000000
9792287,5,722,2023-09-26 00:02:05.000000
9792288,6,999,2023-09-26 00:02:05.000000
9792289,1,0.02,2023-09-26 00:03:06.000000
9792290,2,0.022,2023-09-26 00:03:06.000000
9792291,3,0.0568,2023-09-26 00:03:06.000000
9792292,4,466,2023-09-26 00:03:06.000000
9792293,5,721,2023-09-26 00:03:06.000000
9792294,6,999,2023-09-26 00:03:06.000000
9792295,1,0.02,2023-09-26 00:05:08.000000
9792296,2,0.022,2023-09-26 00:05:08.000000
9792297,3,0.0346,2023-09-26 00:05:08.000000
9792298,4,466,2023-09-26 00:05:08.000000
9792299,5,721,2023-09-26 00:05:08.000000
9792300,6,999,2023-09-26 00:05:08.000000
9792301,1,0.02,2023-09-26 00:07:10.000000
9792302,2,0.0221,2023-09-26 00:07:10.000000
9792303,3,-0.0283,2023-09-26 00:07:10.000000
9792304,4,466,2023-09-26 00:07:10.000000
9792305,5,722,2023-09-26 00:07:10.000000
9792306,6,999,2023-09-26 00:07:10.000000
9792307,1,0.02,2023-09-26 00:09:13.000000
9792308,2,0.0221,2023-09-26 00:09:13.000000
9792309,3,0.0322,2023-09-26 00:09:13.000000
9792310,4,466,2023-09-26 00:09:13.000000
9792311,5,721,2023-09-26 00:09:13.000000
9792312,6,999,2023-09-26 00:09:13.000000
9792313,1,0.02,2023-09-26 00:11:15.000000
9792314,2,0.0221,2023-09-26 00:11:15.000000
9792315,3,0.0444,2023-09-26 00:11:15.000000
9792316,4,466,2023-09-26 00:11:15.000000
9792317,5,721,2023-09-26 00:11:15.000000
9792318,6,999,2023-09-26 00:11:15.000000
9792319,1,0.02,2023-09-26 00:13:17.000000
9792320,2,0.0221,2023-09-26 00:13:17.000000
9792321,3,0.0124,2023-09-26 00:13:17.000000
9792322,4,465,2023-09-26 00:13:17.000000
9792323,5,721,2023-09-26 00:13:17.000000
9792324,6,999,2023-09-26 00:13:17.000000
9792325,1,0.02,2023-09-26 00:16:21.000000
9792326,2,0.0221,2023-09-26 00:16:21.000000
9792327,3,-0.00238,2023-09-26 00:16:21.000000
9792328,4,465,2023-09-26 00:16:21.000000
